單字/片語,詞性,解釋,同義詞
equipment,n,設備，配備用品,
equip,v,使配備,
exactly,adv,確切地，精確地,precisely
exact,adj,精確的，恰好的,
regularly,adv,經常,often;frequently
regular,adj,經常的，頻繁的,
invent,v,發明，創造,create
invention,n,發明(物)，創造(物),
widespread,adj,廣泛的，普遍的,common
solid,adj,固體的,
version,n,版本,
layer,n,(一)層,
application,n,應用；申請,
apply,v,應用；申請，應徵,
customize,v,訂做,personailze;tailor
tailor,v,客製,customize
disabled,adj,身障的,
disability,n,缺陷，障礙,
artificial,adj,人造的，人工的,man-made
promising,adj,有希望的，有前途的,
doable,adj,可行的,possible
frequent,adj,頻繁的,regular
overall,adj,全面的，全部的,general
transform,v,使變成，使改變,change
transformation,n,改變，轉變,
expand,v,擴張，增長,widen;enlarge
boundary,n,界線，範圍,
disappointed,adj,感到失望的,
disappointment,n,失望，掃興,
settle for,,忍受，安於,
make sure,,確定,
one (...) at a time,,一次一個(...),
make headlines,,登上頭條,
used to,,過去存在、習慣、一向......,
all in all,,總而言之,
